"","""XX_rep1""","""XX_rep2""","""XX_rep3""","""XX_rep8""","""XX_rep9""","""XX_rep10""","""Xm_rep3""","""Xm_rep7""","""Xm_rep8""","""Xm_rep13""","""Xm_rep15""","""Xp_rep1""","""Xp_rep2""","""Xp_rep3""","""Xp_rep4""","""Xp_rep7""","""Xp_rep9"""
"DACT1",5.58000354348275,5.78009156789251,6.70263817220353,4.93884865200694,5.00765990181832,6.42504486709004,4.91951224919326,4.36964825912411,4.79005058858821,4.73137459756382,4.45821843715465,4.45012061802327,4.49649987152716,4.55836263327422,5.2281266828529,5.24252324666723,5.21542667174881
"CDC40",7.65216511983289,7.55291701941476,7.67079636381807,7.40721447217751,7.53587687626306,6.87033465497998,6.00284218754117,6.25176189226513,6.85168209003246,6.84864572217592,7.17166810694776,6.69075040509028,6.12254726525757,5.77299145233613,7.32007360579931,5.93095609224944,6.65078738091296
"PDK4",6.28220823255588,7.37491872309084,8.34502859071791,7.13152516796815,6.47369425286134,6.71536535116083,4.56889243461301,6.96924190766572,6.59945951113555,6.31506022893125,7.82255686994575,6.0442897644106,4.83207901492116,5.61575066880776,6.79212190335948,5.2100505792319,6.17344386288156
"SERPINF1",9.13373313738255,8.80616065577643,10.0531247398368,8.68461483608638,9.05548905637195,10.103324641217,7.92874200579197,8.89633933800178,6.2373468779596,8.62100855574171,7.97026900043533,7.99087457532913,8.36445404225456,8.73441651912022,9.08838122569182,7.89665811941354,8.42222461970553
"ACP1",9.24514428921796,9.03486766223944,9.09071877161948,9.26592044071647,9.050102842254,6.93647329490571,6.53798869022307,8.44961882309112,7.86624225324022,8.53930266926705,8.21058738416013,7.06390609789363,7.00674925435189,7.55428394203169,8.71816488727778,7.67209022013172,8.16939695061794
"BCL11A",8.60570447721547,8.69723672990132,9.1965211123663,8.57189424064867,9.1609657169722,9.33190266111805,8.17517419664366,8.10353321983082,7.2685987076616,8.24569958900069,7.19413751924042,8.06098262725996,9.18214730339552,9.28196351735759,8.36445986928316,8.29800532375289,8.16071467566702
"TM6SF1",7.35142666017798,8.7462101886096,8.61653210559258,8.82607407196036,8.70401611527672,7.64834981226756,6.96186839750629,7.58112371679195,8.30951204471129,7.85253915513918,7.79154032994009,7.44951658669056,6.34695975023968,6.94720809459163,7.75903779409449,7.08570331457225,8.21648583875988
"PLSCR1",8.15696078381284,8.00071244739408,9.0539236319036,8.98338650948569,8.52921248024106,7.95752551963533,7.28420168537708,6.84155763313994,8.28336909933697,7.42421370498663,8.60673831587068,6.94220561416839,6.40693503105511,7.05969502551179,7.9139907795536,7.26677880235471,7.34139921241673
"GNG2",7.11496971843147,6.90554587256606,6.96214344249043,7.91591285448049,6.55130379774319,5.73452022963399,5.94737156950851,6.39619993373537,6.15201757782291,6.63429802440615,5.19439310184183,6.19720852376093,5.61775289330333,4.97955844859351,6.561501993302,5.19505220361303,6.07603486257186
"ATRX",6.41642223968147,6.62673586290493,6.85415333480869,5.71467269718917,6.69684702002846,6.29442479152821,4.34948810912721,5.41243648680204,4.98858979420481,5.37561805751172,5.50562760078106,5.72036668309909,4.65682068611166,4.61646227860479,5.82426233539862,4.86566531371313,5.54796393891157
"LRRN3",10.310137695662,9.56488558852099,9.28598237180046,9.03136289597162,8.84848903375729,9.07815946463775,7.46068850455233,7.21207225438824,7.41151708739166,9.04177902365233,6.87870366604762,7.82770604435836,8.96816402605544,8.21703097802135,9.28634125308744,8.59675991533812,8.50755607016375
"OTUD4",6.31647436284918,7.02569802713136,6.54763614625231,6.53762532559317,6.52215370721268,5.77582849640808,4.06220154426252,4.68976270607537,5.64735284607429,5.85842655964772,6.48948309128297,5.60451378732224,4.61562747924432,4.90758755555494,5.89485692726918,4.84122051605561,5.7148985909272
"FBLIM1",5.47608157647728,6.53643431816971,6.30118420836158,5.50274072805102,6.53440543904565,7.07850240033825,7.05605925807892,7.5275379645832,7.69186185215116,7.07741551593649,7.03147911037567,6.49821127199075,7.25493070187345,7.17454527067314,6.5916488931471,7.5695872544221,6.7151400152498
"TET2",7.29993763451658,8.23648658258758,8.85635882819841,7.49063082434654,7.70427257613846,8.64446424418808,6.69629051711901,6.1785228900699,7.19471875287556,6.38604986443545,7.30306099156443,7.2971818794406,7.57595848465183,6.40036360767455,6.15029429255674,6.13802855257608,6.61962829707909
"VPS13C",7.78661090190462,7.58877487654417,7.8811888223589,8.15871013523363,7.00921973614277,8.40034673596349,6.85188186184439,5.72549447976539,5.95499261347849,6.45185674284799,6.59806165127587,6.71921286485246,7.16885858950013,6.79654175385832,6.97171881634056,6.51557215203514,6.32552230897254
"CC2D1A",6.56178483242046,5.69775820213036,6.03115869553839,6.63490424068505,5.42119241511277,7.58064396475576,7.71615579774696,7.19863710122927,7.26098695760659,7.11888505391373,7.17246095556908,7.7183748128007,7.92831571247845,7.63940639291545,6.62454743888861,7.54635332159445,7.00155295731133
"INO80D",7.22436898541446,6.72633639740779,7.49998455589065,7.27628644648763,7.09278626419673,5.22192308275618,5.37199709679697,4.77622033103224,4.95219521642506,5.55445137710354,5.1255806425024,6.38774647932586,4.15646700780638,4.87191252591774,5.92773010622132,4.94705657965479,4.77585361760042
"PXK",8.10459172920145,7.72832551587995,8.00511686268775,8.27806632854812,8.47242304644195,7.67103579455493,6.52843494980999,7.22176537965883,7.69092821815156,7.42078614256663,6.80508679954968,6.59723065404706,6.06100666435688,7.04276548255687,7.59977456220286,6.51453392895039,7.25173713146137
"CCDC186",8.04630950780893,7.49214365741096,8.14067602206664,7.01013247257487,7.64517028609274,8.01971489473672,6.59931420228917,6.5605189244863,6.38732876845538,6.48048832319643,7.59151896151205,6.72146153180268,7.53758543681909,6.33084845959392,6.68858514546419,6.15554205137193,6.52304252378383
"PSPC1",7.42041236023468,7.36914427615079,7.58069885391191,7.47366522082283,7.04639327483918,5.33074213160838,5.00034887082095,6.61359166875031,6.03245352628058,6.51779632244465,6.63994927532264,5.79632123941808,4.55674449594488,5.44975897015346,7.33649094514955,5.17731205818143,6.60612972655795
"ATXN7L3B",7.48597278831235,8.37024789274648,7.91569782309399,7.33617909932105,7.82276427369225,7.59047524916982,6.32831953756182,6.85535639667067,6.6748649524859,6.80277944066948,7.21584935115032,6.69537721670597,6.68847022949748,6.10232757357546,7.5724371677294,6.66185248374214,6.64446767786755
