"","""XX_rep1""","""XX_rep2""","""XX_rep3""","""XX_rep8""","""XX_rep9""","""XX_rep10""","""Xm_rep3""","""Xm_rep7""","""Xm_rep8""","""Xm_rep13""","""Xm_rep15""","""Xp_rep1""","""Xp_rep2""","""Xp_rep3""","""Xp_rep4""","""Xp_rep7""","""Xp_rep9"""
"217295_at",6.14209785055886,6.3138767860531,6.83595840237046,6.5134239862569,6.98166653277625,7.00622635600207,6.75120217452815,5.98753759177803,6.18260569227757,5.95542910434879,6.48230738957068,7.41702903569201,6.69442729679643,5.93214611449737,5.84369775203707,6.06044589990648,6.06007371886914
"237475_x_at",9.70153682879334,9.98941639350284,10.2774571374742,10.0449508633151,10.572348280707,10.8531714817628,11.1078945443334,9.76766152556328,9.82174110193949,10.0074829676468,9.95340594500139,11.0879452652371,11.3801129798814,10.2792887056533,9.28321355951114,10.4609855702101,10.3270978479388
"238214_at",5.53110638207891,5.75755505261974,6.09917185492108,5.83813063744247,6.68698586836017,7.24987491743093,6.37242511719453,6.6552316851122,5.78573788228858,5.86555224414539,5.35488335882947,6.3252682760155,6.42733924890539,7.08883463142603,6.01047713233901,7.12142724762247,6.85672078842173
"1569496_s_at",7.78638993062904,6.78725560600964,7.03114344883862,7.55164838143244,7.47366828855252,7.499990533042,8.46460856958955,7.68837804339281,7.46122704519846,7.82972775109909,8.03493139297914,8.63951259141513,8.09378722787231,6.93713157218028,7.09291352041497,7.87968982751475,7.46100149237067
"227170_at",7.49847425981646,7.11273017529331,7.0593585130431,7.14483657450181,7.23821637173024,7.81874412205231,8.09856182524621,7.5880453909772,7.66814448871165,7.11320919003074,7.47288439885698,7.92028664253114,8.1091262949341,8.08401498680679,7.01667858636861,7.94149067157613,7.42454572145933
"1552327_at",5.02156489136381,4.1126157283799,4.6507107086984,4.86947758788645,4.23177693452075,5.55496504653556,4.62157772085198,4.19982256404563,4.24987960260748,4.86652715014241,4.91711286062755,4.67720790849516,4.82426826385785,4.8080757317694,5.3227913471752,5.19354774125205,5.00437478668176
"211532_x_at",7.76993314524248,6.27017254608401,5.53541857586596,5.79269090139265,7.05800598680975,5.14812305224147,6.92832841631115,6.1924465485166,5.72864718859018,6.41762283518488,7.52715142635005,6.69336270014753,5.99369208366475,5.41011528872138,6.13383838715532,6.10755834350957,6.84379010620699
"219442_at",8.47794607757507,8.04560328035253,7.56674833045517,7.36038901651987,7.77152575952007,8.74259342130942,8.6988436207149,8.58731477156024,8.15480246029579,8.79661096206345,8.21725268602,8.65250903469766,8.78759664590608,8.94697554919811,8.44366723078768,9.274699945508,8.41785407969244
"1558310_s_at",4.57746638785792,4.11251680148171,5.99400226984232,5.39477033089488,5.27129836129553,5.34090792272491,4.59617660224205,4.9561880357747,4.94193387296975,5.03298908240003,4.42430244200367,4.53311010439032,4.737423360985,5.07014041834531,4.90142439890082,5.66451698702806,5.11938429712532
"232586_x_at",5.98133830648344,6.34955139494514,6.7376936838348,6.5347064700718,7.12822754513923,7.61973511913893,7.71703400250067,7.38912373752832,6.89282147792092,7.03789452404921,6.44864310174119,7.62608474156679,7.76951218029324,8.19462123299342,6.63021937176565,7.98937565311278,7.36942454398509
